panel,t,x,a,y,theory_density,kde_density
1,1.0,0.5,1.8,0.0,0.0,0.03783543505875533
1,1.0,0.5,1.8,0.0018,0.0028146451406322686,0.03925918861925617
1,1.0,0.5,1.8,0.0036,0.0056292603362924866,0.040716895424708285
1,1.0,0.5,1.8,0.0054,0.008443815642389748,0.04220855322202641
1,1.0,0.5,1.8,0.0072,0.011258281115095423,0.04373412970617692
1,1.0,0.5,1.8,0.009,0.014072626811724291,0.045293562501578774
1,1.0,0.5,1.8,0.0108,0.016886822791115644,0.04688675921542436
1,1.0,0.5,1.8,0.0126,0.019700839114014337,0.048513597562350255
1,1.0,0.5,1.8,0.0144,0.022514645843451843,0.05017392555958687
1,1.0,0.5,1.8,0.0162,0.025328213045127265,0.05186756179141288
1,1.0,0.5,1.8,0.018,0.028141510787788225,0.053594295741453614
1,1.0,0.5,1.8,0.019799999999999998,0.030954509143611815,0.05535388819108182
1,1.0,0.5,1.8,0.0216,0.03376717818858538,0.057146071681920985
1,1.0,0.5,1.8,0.0234,0.03657948800288726,0.05897055104020113
1,1.0,0.5,1.8,0.0252,0.03939140867126751,0.06082700396049084
1,1.0,0.5,1.8,0.027,0.04220291028342846,0.06271508164611447
1,1.0,0.5,1.8,0.0288,0.04501396293440517,0.06463440950337956
1,1.0,0.5,1.8,0.0306,0.047824536724945896,0.06658458788656556
1,1.0,0.5,1.8,0.0324,0.050634601761892335,0.06856519289048098
1,1.0,0.5,1.8,0.0342,0.0534441281585598,0.07057577718727535
1,1.0,0.5,1.8,0.036,0.056253086035117236,0.0726158709040826
1,1.0,0.5,1.8,0.0378,0.05906144551896726,0.07468498253801027
1,1.0,0.5,1.8,0.039599999999999996,0.0618691767451258,0.07678259990492176
1,1.0,0.5,1.8,0.0414,0.06467624985660189,0.0789081911184379
1,1.0,0.5,1.8,0.0432,0.06748263500477696,0.08106120559557164
1,1.0,0.5,1.8,0.045,0.07028830234978439,0.08324107508543058
1,1.0,0.5,1.8,0.0468,0.07309322206088854,0.08544721471744639
1,1.0,0.5,1.8,0.0486,0.07589736431686388,0.08767902406566433
1,1.0,0.5,1.8,0.0504,0.07870069930637366,0.08993588822567941
1,1.0,0.5,1.8,0.052199999999999996,0.08150319722834862,0.09221717890091788
1,1.0,0.5,1.8,0.054,0.08430482829236546,0.09452225549505537
1,1.0,0.5,1.8,0.055799999999999995,0.08710556271902511,0.09685046620749495
1,1.0,0.5,1.8,0.0576,0.08990537074033064,0.09920114912895567
1,1.0,0.5,1.8,0.0594,0.0927042226000653,0.1015736333343746
1,1.0,0.5,1.8,0.0612,0.09550208855416979,0.10396723997046806
1,1.0,0.5,1.8,0.063,0.09829893887112011,0.1063812833354631
1,1.0,0.5,1.8,0.0648,0.10109474383230423,0.10881507194867741
1,1.0,0.5,1.8,0.06659999999999999,0.10388947373239933,0.11126790960778037
1,1.0,0.5,1.8,0.0684,0.10668309887974826,0.11373909643174629
1,1.0,0.5,1.8,0.0702,0.10947558959673599,0.11622792988766396
1,1.0,0.5,1.8,0.072,0.11226691622016581,0.11873370579974246
1,1.0,0.5,1.8,0.0738,0.1150570491016352,0.12125571933898557
1,1.0,0.5,1.8,0.0756,0.11784595860791112,0.12379326599219174
1,1.0,0.5,1.8,0.0774,0.12063361512130585,0.12634564250903674
1,1.0,0.5,1.8,0.07919999999999999,0.12341998904005151,0.1289121478261667
1,1.0,0.5,1.8,0.081,0.12620505077867508,0.13149208396732204
1,1.0,0.5,1.8,0.0828,0.12898877076837262,0.13408475691864463
1,1.0,0.5,1.8,0.0846,0.13177111945738346,0.13668947747840118
1,1.0,0.5,1.8,0.0864,0.13455206731136404,0.1393055620804631
1,1.0,0.5,1.8,0.0882,0.13733158481376118,0.14193233359093363
1,1.0,0.5,1.8,0.09,0.14010964246618543,0.14456912207739844
1,1.0,0.5,1.8,0.09179999999999999,0.1428862107887837,0.14721526555031503
1,1.0,0.5,1.8,0.0936,0.1456612603206117,0.14987011067608302
1,1.0,0.5,1.8,0.0954,0.1484347616200061,0.15253301346139184
1,1.0,0.5,1.8,0.0972,0.1512066852649562,0.15520333990843077
1,1.0,0.5,1.8,0.09899999999999999,0.15397700185347524,0.15788046664058378
1,1.0,0.5,1.8,0.1008,0.1567456820039716,0.1605637814981894
1,1.0,0.5,1.8,0.1026,0.1595126963556189,0.16325268410400287
1,1.0,0.5,1.8,0.10439999999999999,0.162278015568727,0.1659465863979086
1,1.0,0.5,1.8,0.1062,0.16504161032511108,0.1686449131404878
1,1.0,0.5,1.8,0.108,0.16780345132846128,0.17134710238498713
1,1.0,0.5,1.8,0.1098,0.1705635093047121,0.17405260591722735
1,1.0,0.5,1.8,0.11159999999999999,0.17332175500241034,0.17676088966297876
1,1.0,0.5,1.8,0.1134,0.17607815919308387,0.17947143406232546
1,1.0,0.5,1.8,0.1152,0.17883269267160873,0.18218373441051852
1,1.0,0.5,1.8,0.11699999999999999,0.18158532625657728,0.18489730116482728
1,1.0,0.5,1.8,0.1188,0.18433603079066438,0.1876116602169178
1,1.0,0.5,1.8,0.1206,0.18708477714099395,0.1903263531302817
1,1.0,0.5,1.8,0.1224,0.18983153619950505,0.19304093734228892
1,1.0,0.5,1.8,0.12419999999999999,0.19257627888331746,0.19575498633048333
1,1.0,0.5,1.8,0.126,0.19531897613509672,0.19846808974276345
1,1.0,0.5,1.8,0.1278,0.198059598923418,0.20117985349120707
1,1.0,0.5,1.8,0.1296,0.20079811824313135,0.20388989980935252
1,1.0,0.5,1.8,0.1314,0.20353450511572446,0.20659786727283963
1,1.0,0.5,1.8,0.13319999999999999,0.2062687305896858,0.20930341078346634
1,1.0,0.5,1.8,0.135,0.20900076574086762,0.21200620151681052
1,1.0,0.5,1.8,0.1368,0.2117305816728476,0.21470592683371792
1,1.0,0.5,1.8,0.1386,0.2144581495172906,0.21740229015612575
1,1.0,0.5,1.8,0.1404,0.21718344043430987,0.22009501080784985
1,1.0,0.5,1.8,0.1422,0.21990642561282714,0.22278382382114706
1,1.0,0.5,1.8,0.144,0.22262707627093298,0.22546847971004838
1,1.0,0.5,1.8,0.14579999999999999,0.22534536365624616,0.22814874421167866
1,1.0,0.5,1.8,0.1476,0.22806125904627225,0.23082439799695886
1,1.0,0.5,1.8,0.1494,0.23077473374876242,0.23349523635230335
1,1.0,0.5,1.8,0.1512,0.23348575910207084,0.23616106883415955
1,1.0,0.5,1.8,0.153,0.23619430647551184,0.23882171889840687
1,1.0,0.5,1.8,0.1548,0.23890034726971715,0.2414770235068885
1,1.0,0.5,1.8,0.1566,0.24160385291699119,0.24412683271350705
1,1.0,0.5,1.8,0.15839999999999999,0.24430479488166681,0.24677100923255416
1,1.0,0.5,1.8,0.1602,0.24700314466046047,0.24940942799210267
1,1.0,0.5,1.8,0.162,0.249698873782826,0.25204197567545916
1,1.0,0.5,1.8,0.1638,0.2523919538113084,0.2546685502538718
1,1.0,0.5,1.8,0.1656,0.2550823563418974,0.2572890605137664
1,1.0,0.5,1.8,0.1674,0.2577700530043792,0.2599034255819615
1,1.0,0.5,1.8,0.1692,0.26045501546268857,0.26251157445237716
1,1.0,0.5,1.8,0.17099999999999999,0.26313721541526003,0.26511344551782606
