panel,draw,t,x,a,y
1,1,1.0,0.5,1.8,1.6065955110700092
1,2,1.0,0.5,1.8,1.4032995122077994
1,3,1.0,0.5,1.8,0.7795106147530548
1,4,1.0,0.5,1.8,0.4938766075690248
1,5,1.0,0.5,1.8,1.1269979959517513
1,6,1.0,0.5,1.8,0.7336936662007585
1,7,1.0,0.5,1.8,0.13544725179452605
1,8,1.0,0.5,1.8,0.8404805627466013
1,9,1.0,0.5,1.8,1.0953723015206531
1,10,1.0,0.5,1.8,0.36548816074548657
1,11,1.0,0.5,1.8,0.26318499337343454
1,12,1.0,0.5,1.8,1.6512014085078541
1,13,1.0,0.5,1.8,0.6451791911802321
1,14,1.0,0.5,1.8,0.852305298859576
1,15,1.0,0.5,1.8,1.034263193457117
1,16,1.0,0.5,1.8,0.45079251479069465
1,17,1.0,0.5,1.8,1.3659404558172652
1,18,1.0,0.5,1.8,0.4534744098269039
1,19,1.0,0.5,1.8,1.1979373714037789
1,20,1.0,0.5,1.8,0.4510892767393337
1,21,1.0,0.5,1.8,1.2522786738694385
1,22,1.0,0.5,1.8,1.189072091457688
1,23,1.0,0.5,1.8,0.7359322346523163
1,24,1.0,0.5,1.8,1.6547648331360243
1,25,1.0,0.5,1.8,0.6340549978023109
1,26,1.0,0.5,1.8,1.1674942264275046
1,27,1.0,0.5,1.8,1.1700941802998124
1,28,1.0,0.5,1.8,1.2002325178264623
1,29,1.0,0.5,1.8,0.38748406678584907
1,30,1.0,0.5,1.8,0.40662540666885794
1,31,1.0,0.5,1.8,1.4148478959423638
1,32,1.0,0.5,1.8,0.32784401992347206
1,33,1.0,0.5,1.8,0.9260097332931654
1,34,1.0,0.5,1.8,0.31058604858316546
1,35,1.0,0.5,1.8,1.2641312988606261
1,36,1.0,0.5,1.8,0.49833874613794765
1,37,1.0,0.5,1.8,1.3789315165550469
1,38,1.0,0.5,1.8,0.21140614230278323
1,39,1.0,0.5,1.8,1.200566029765945
1,40,1.0,0.5,1.8,1.3215016203390986
1,41,1.0,0.5,1.8,1.5065952165075271
1,42,1.0,0.5,1.8,1.208765603690153
1,43,1.0,0.5,1.8,1.154130379366452
1,44,1.0,0.5,1.8,1.2644538256757196
1,45,1.0,0.5,1.8,1.672969574688977
1,46,1.0,0.5,1.8,0.9123899459846245
1,47,1.0,0.5,1.8,0.9251333094596711
1,48,1.0,0.5,1.8,0.4404736672973339
1,49,1.0,0.5,1.8,0.9775116164059705
1,50,1.0,0.5,1.8,0.30917757783651917
1,51,1.0,0.5,1.8,0.5084901318905721
1,52,1.0,0.5,1.8,0.25446692179426117
1,53,1.0,0.5,1.8,0.41626539424476583
1,54,1.0,0.5,1.8,0.7026693225476415
1,55,1.0,0.5,1.8,1.3074951727767337
1,56,1.0,0.5,1.8,1.1576935738362668
1,57,1.0,0.5,1.8,0.7078461085069107
1,58,1.0,0.5,1.8,0.5997519447557503
1,59,1.0,0.5,1.8,0.25970171918011087
1,60,1.0,0.5,1.8,0.20436198296920463
1,61,1.0,0.5,1.8,1.2814926179899702
1,62,1.0,0.5,1.8,1.28003076790345
1,63,1.0,0.5,1.8,0.5316978327104341
1,64,1.0,0.5,1.8,0.8375155339360055
