panel,t,a,y,theory_density,kde_density
1,0.2,2.0,0.0,0.0,0.09789005235046977
1,0.2,2.0,0.002,0.010000824770797776,0.10316130490014974
1,0.2,2.0,0.004,0.02000104950110996,0.10859980814045739
1,0.2,2.0,0.006,0.030000074210453687,0.1142039436293985
1,0.2,2.0,0.008,0.03999729903834323,0.11997171987731775
1,0.2,2.0,0.01,0.04999212430426749,0.12590077940174665
1,0.2,2.0,0.012,0.05998395056764234,0.13198840795028302
1,0.2,2.0,0.014,0.06997217868772945,0.1382315458320582
1,0.2,2.0,0.016,0.07995620988351308,0.1446268012800302
1,0.2,2.0,0.018000000000000002,0.08993544579352647,0.15117046574906276
1,0.2,2.0,0.02,0.09990928853561964,0.15785853103875816
1,0.2,2.0,0.022,0.10987714076666007,0.16468670811551575
1,0.2,2.0,0.024,0.11983840574215782,0.17165044749543748
1,0.2,2.0,0.026000000000000002,0.12979248737580706,0.17874496103866505
1,0.2,2.0,0.028,0.1397387902989357,0.18596524499656308
1,0.2,2.0,0.03,0.14967671991985412,0.19330610414598204
1,0.2,2.0,0.032,0.15960568248309573,0.20076217683964123
1,0.2,2.0,0.034,0.16952508512854048,0.20832796079843133
1,0.2,2.0,0.036000000000000004,0.179434335950413,0.21599783947012674
1,0.2,2.0,0.038,0.1893328440561479,0.2237661087795407
1,0.2,2.0,0.04,0.19922001962511285,0.23162700409735887
1,0.2,2.0,0.042,0.20909527396718197,0.23957472725868445
1,0.2,2.0,0.044,0.21895801958115255,0.24760347346744924
1,0.2,2.0,0.046,0.2288076702129934,0.2557074579291632
1,0.2,2.0,0.048,0.2386436409139218,0.26388094206168633
1,0.2,2.0,0.05,0.24846534809829596,0.27211825914167476
1,0.2,2.0,0.052000000000000005,0.2582722096013196,0.28041383925273344
1,0.2,2.0,0.054,0.26806364473654576,0.28876223340995294
1,0.2,2.0,0.056,0.2778390743531768,0.29715813674421215
1,0.2,2.0,0.058,0.28759792089314934,0.30559641063803267
1,0.2,2.0,0.06,0.29733960844799745,0.314072103712932
1,0.2,2.0,0.062,0.30706356281548597,0.3225804715757527
1,0.2,2.0,0.064,0.3167692115560068,0.33111699523845634
1,0.2,2.0,0.066,0.3264559840487291,0.33967739813199604
1,0.2,2.0,0.068,0.3361233115474975,0.34825766164043004
1,0.2,2.0,0.07,0.3457706272364688,0.35685403908608637
1,0.2,2.0,0.07200000000000001,0.355397366285481,0.3654630681006121
1,0.2,2.0,0.074,0.3650029659051456,0.37408158132009967
1,0.2,2.0,0.076,0.374586865401659,0.3827067153453374
1,0.2,2.0,0.078,0.3841485062313183,0.39133591791081695
1,0.2,2.0,0.08,0.39368733205474515,0.3999669532084912
1,0.2,2.0,0.082,0.40320278879079813,0.4085979053148093
1,0.2,2.0,0.084,0.41269432467017564,0.41722717967230577
1,0.2,2.0,0.08600000000000001,0.4221613902886989,0.4258535025804791
1,0.2,2.0,0.088,0.431603438660264,0.43447591865483187
1,0.2,2.0,0.09,0.4410199252694644,0.4430937862182503
1,0.2,2.0,0.092,0.4504103081238673,0.4517067705954499
1,0.2,2.0,0.094,0.45977404780594455,0.4603148352892572
1,0.2,2.0,0.096,0.46911060752464734,0.4689182310272165
1,0.2,2.0,0.098,0.4784194531666164,0.47751748267853655
1,0.2,2.0,0.1,0.4877000533470259,0.4861133740546481
1,0.2,2.0,0.10200000000000001,0.4969518794600488,0.4947069306220279
1,0.2,2.0,0.10400000000000001,0.5061744057289425,0.5032994001728734
1,0.2,2.0,0.106,0.5153671092557403,0.511892231518143
1,0.2,2.0,0.108,0.5245294700705522,0.5204870512878119
1,0.2,2.0,0.11,0.5336609711804599,0.529085638944898
1,0.2,2.0,0.112,0.5427610986180041,0.5376899001427106
1,0.2,2.0,0.114,0.5518293414892568,0.5463018385781063
1,0.2,2.0,0.116,0.5608651920214709,0.5549235265174872
1,0.2,2.0,0.11800000000000001,0.5698681456103035,0.5635570741957938
1,0.2,2.0,0.12,0.5788377008666056,0.5722045983119013
1,0.2,2.0,0.122,0.5877733596627704,0.5808681898656645
1,0.2,2.0,0.124,0.5966746271786374,0.5895498816021904
1,0.2,2.0,0.126,0.6055410119469432,0.5982516153470637
1,0.2,2.0,0.128,0.6143720258983165,0.606975209531709
1,0.2,2.0,0.13,0.6231671844058089,0.6157223272205071
1,0.2,2.0,0.132,0.6319260063289565,0.6244944449600522
1,0.2,2.0,0.134,0.6406480140573682,0.6332928227758596
1,0.2,2.0,0.136,0.6493327335538326,0.6421184756423308
1,0.2,2.0,0.138,0.6579796943969414,0.6509721467480283
1,0.2,2.0,0.14,0.6665884298232194,0.6598542828694994
1,0.2,2.0,0.14200000000000002,0.6751584767687613,0.6687650121536439
1,0.2,2.0,0.14400000000000002,0.6836893759103666,0.6777041245903612
1,0.2,2.0,0.146,0.6921806717061669,0.6866710554343523
1,0.2,2.0,0.148,0.7006319124357446,0.695664871807724
1,0.2,2.0,0.15,0.7090426502397342,0.7046842626834222
1,0.2,2.0,0.152,0.7174124411589028,0.7137275324142592
1,0.2,2.0,0.154,0.7257408451727039,0.7227925979336995
1,0.2,2.0,0.156,0.7340274262373062,0.7318769897130228
1,0.2,2.0,0.158,0.7422717523230812,0.7409778565159855
1,0.2,2.0,0.16,0.7504733954515557,0.7500919739467442
1,0.2,2.0,0.162,0.7586319317318199,0.7592157567410436
1,0.2,2.0,0.164,0.7667469413963898,0.7683452747043533
1,0.2,2.0,0.166,0.7748180088365121,0.777476272155286
1,0.2,2.0,0.168,0.7828447226369231,0.7866041906884651
1,0.2,2.0,0.17,0.7908266756100361,0.7957241950290791
1,0.2,2.0,0.17200000000000001,0.7987634648295758,0.8048312017119518
1,0.2,2.0,0.17400000000000002,0.8066546916636386,0.8139199102823392
1,0.2,2.0,0.176,0.8144999618071835,0.8229848366835368
1,0.2,2.0,0.178,0.8222988853139521,0.8320203484693215
1,0.2,2.0,0.18,0.8300510766278025,0.8410207014565324
1,0.2,2.0,0.182,0.8377561546134709,0.8499800774162072
1,0.2,2.0,0.184,0.8454137425867423,0.8588926223897642
1,0.2,2.0,0.186,0.8530234683440332,0.8677524852110343
1,0.2,2.0,0.188,0.8605849641913909,0.876553855814402
1,0.2,2.0,0.19,0.8680978669728868,0.885291002914954
1,0.2,2.0,0.192,0.8755618180984235,0.8939583106573642
1,0.2,2.0,0.194,0.8829764635709371,0.9025503138465978
1,0.2,2.0,0.196,0.890341454012997,0.9110617313946494
1,0.2,2.0,0.198,0.8976564446928043,0.9194874976435615
1,0.2,2.0,0.2,0.9049210955495791,0.9278227912548292
1,0.2,2.0,0.202,0.9121350712183405,0.9360630613891243
1,0.2,2.0,0.20400000000000001,0.9192980410540732,0.9442040509368433
1,0.2,2.0,0.20600000000000002,0.9264096791552826,0.9522418165993988
1,0.2,2.0,0.20800000000000002,0.9334696643869284,0.9601727456622376
1,0.2,2.0,0.21,0.9404776804027457,0.9679935693429828
1,0.2,2.0,0.212,0.9474334156669468,0.9757013726411373
1,0.2,2.0,0.214,0.9543365634752923,0.9832936006590429
1,0.2,2.0,0.216,0.9611868219755475,0.9907680614061493
1,0.2,2.0,0.218,0.9679838941873142,0.9981229251403172
1,0.2,2.0,0.22,0.9747274880212302,1.0053567203396916
1,0.2,2.0,0.222,0.9814173162975437,1.0124683264363536
1,0.2,2.0,0.224,0.9880530967640601,1.0194569634785482
1,0.2,2.0,0.226,0.9946345521134596,1.0263221789202523
1,0.2,2.0,0.228,1.0011614099999788,1.0330638317664633
1,0.2,2.0,0.23,1.007633403055464,1.039682074327972
1,0.2,2.0,0.232,1.0140502689047934,1.0461773318616794
1,0.2,2.0,0.234,1.0204117501806604,1.0525502803905187
1,0.2,2.0,0.23600000000000002,1.0267175945377265,1.0588018230114666
1,0.2,2.0,0.23800000000000002,1.032967554666139,1.064933065010354
1,0.2,2.0,0.24,1.0391613883044135,1.0709452881084152
1,0.2,2.0,0.242,1.045298858251679,1.076839924167942
1,0.2,2.0,0.244,1.0513797323792895,1.0826185286828183
1,0.2,2.0,0.246,1.057403783641801,1.088282754374309
1,0.2,2.0,0.248,1.0633707900873084,1.0938343252037617
1,0.2,2.0,0.25,1.0692805348671508,1.0992750111013632
1,0.2,2.0,0.252,1.07513280624498,1.1046066036945454
1,0.2,2.0,0.254,1.0809273976051927,1.1098308933012344
1,0.2,2.0,0.256,1.0866641074607308,1.1149496474317842
1,0.2,2.0,0.258,1.0923427394602427,1.1199645910197493
1,0.2,2.0,0.26,1.0979631023946161,1.124877388575892
1,0.2,2.0,0.262,1.1035250102028744,1.1296896284321414
1,0.2,2.0,0.264,1.1090282819774453,1.134402809213221
1,0.2,2.0,0.266,1.1144727419687879,1.1390183286432671
1,0.2,2.0,0.268,1.1198582195894036,1.143537474763879
1,0.2,2.0,0.27,1.125184549417207,1.147961419608647
1,0.2,2.0,0.272,1.1304515711982748,1.1522912153476155
1,0.2,2.0,0.274,1.1356591298489627,1.1565277928843405
1,0.2,2.0,0.276,1.140807075457404,1.1606719628574584
1,0.2,2.0,0.278,1.1458952632843773,1.164724418969877
1,0.2,2.0,0.28,1.1509235537635567,1.1686857435405273
1,0.2,2.0,0.28200000000000003,1.1558918125011401,1.1725564151478798
1,0.2,2.0,0.28400000000000003,1.1607999102748567,1.1763368182105185
1,0.2,2.0,0.28600000000000003,1.1656477230323619,1.1800272543286772
1,0.2,2.0,0.28800000000000003,1.1704351318890125,1.183627955192024
1,0.2,2.0,0.29,1.175162023125033,1.1871390968432414
1,0.2,2.0,0.292,1.1798282881820674,1.1905608150743476
1,0.2,2.0,0.294,1.1844338236591263,1.1938932217235643
1,0.2,2.0,0.296,1.1889785313079237,1.197136421634536
1,0.2,2.0,0.298,1.1934623180276136,1.2002905300373383
1,0.2,2.0,0.3,1.1978850958589229,1.203355690111628
1,0.2,2.0,0.302,1.2022467819776876,1.206332090496618
1,0.2,2.0,0.304,1.2065472986877899,1.2092199825200791
1,0.2,2.0,0.306,1.2107865734135048,1.2120196969289534
1,0.2,2.0,0.308,1.2149645386912573,1.214731659917684
1,0.2,2.0,0.31,1.2190811321607853,1.2173564082656883
1,0.2,2.0,0.312,1.223136296555729,1.219894603413617
1,0.2,2.0,0.314,1.2271299796936281,1.2223470443273976
1,0.2,2.0,0.316,1.2310621344653472,1.2247146790198369
1,0.2,2.0,0.318,1.2349327188239259,1.22699861462169
1,0.2,2.0,0.32,1.2387416957728539,1.2292001259158205
1,0.2,2.0,0.322,1.2424890333537812,1.231320662270741
1,0.2,2.0,0.324,1.2461747046336646,1.233361852931192
1,0.2,2.0,0.326,1.2497986876913483,1.2353255106447847
1,0.2,2.0,0.328,1.2533609656035924,1.237213633623023
1,0.2,2.0,0.33,1.2568615264305445,1.2390284058535463
1,0.2,2.0,0.332,1.2603003632006637,1.2407721957965634
1,0.2,2.0,0.334,1.263677473895097,1.2424475535127726
1,0.2,2.0,0.336,1.2669928614315156,1.244057206282158
1,0.2,2.0,0.338,1.2702465336474114,1.2456040527827794
1,0.2,2.0,0.34,1.2734385032828608,1.2470911559058355
1,0.2,2.0,0.342,1.2765687879627612,1.2485217342886665
1,0.2,2.0,0.34400000000000003,1.2796374101785375,1.249899152650079
1,0.2,2.0,0.34600000000000003,1.2826443972693309,1.2512269110129959
1,0.2,2.0,0.34800000000000003,1.2855897814026733,1.2525086328988195
1,0.2,2.0,0.35000000000000003,1.288473599554642,1.2537480525752491
1,0.2,2.0,0.352,1.2912958934895167,1.2549490014354092
1,0.2,2.0,0.354,1.2940567097389257,1.2561153935819864
1,0.2,2.0,0.356,1.2967560995805,1.2572512106845624
1,0.2,2.0,0.358,1.2993941190160272,1.2583604861734927
1,0.2,2.0,0.36,1.3019708287491234,1.2594472888285184
1,0.2,2.0,0.362,1.304486294162417,1.260515705815868
1,0.2,2.0,0.364,1.3069405852942548,1.2615698252243317
1,0.2,2.0,0.366,1.3093337768149351,1.2626137181480184
1,0.2,2.0,0.368,1.3116659480024702,1.2636514203627434
1,0.2,2.0,0.37,1.3139371827178854,1.264686913643399
1,0.2,2.0,0.372,1.3161475693800604,1.2657241067716476
1,0.2,2.0,0.374,1.318297200940117,1.2667668162870054
1,0.2,2.0,0.376,1.3203861748553558,1.2678187470396547
1,0.2,2.0,0.378,1.322414593062755,1.2688834726099458
1,0.2,2.0,0.38,1.3243825619520264,1.2699644156677712
1,0.2,2.0,0.382,1.3262901923382429,1.2710648283535113
1,0.2,2.0,0.384,1.3281375994340383,1.2721877727727178
1,0.2,2.0,0.386,1.3299249028213833,1.2733361017062106
1,0.2,2.0,0.388,1.3316522264229493,1.2745124396480318
1,0.2,2.0,0.39,1.3333196984730626,1.275719164293146
1,0.2,2.0,0.392,1.3349274514882474,1.2769583886063023
1,0.2,2.0,0.394,1.33647562223738,1.278231943611476
1,0.2,2.0,0.396,1.3379643517114408,1.279541362047709
1,0.2,2.0,0.398,1.3393937850928863,1.2808878630422265
1,0.2,2.0,0.4,1.3407640717246325,1.2822723379543464
1,0.2,2.0,0.402,1.3420753650786699,1.28369533754414
1,0.2,2.0,0.404,1.3433278227243024,1.2851570606175253
1,0.2,2.0,0.406,1.3445216062960257,1.2866573442951756
1,0.2,2.0,0.40800000000000003,1.345656881461047,1.2881956560448506
1,0.2,2.0,0.41000000000000003,1.346733817886455,1.2897710876071868
