algorithm,scenario_id,t,T,x,z,a,B_accept,g_proposals,h_proposals,total_proposals,acceptance_rate,mean_proposals_per_draw,median_proposals_per_draw,B_time,timing_reps,elapsed_median_sec,elapsed_mean_sec,elapsed_sd_sec,sec_per_draw_median,acceptance_seed
3,1,0.1,3.0,0.05,0.05,2.0,2000,12512,0,12512,0.159846547314578,6.256,4.0,10000,1,0.93244625,0.93244625,,9.3244625e-05,100001
3,2,1.0,3.0,0.05,0.05,2.0,2000,8759,0,8759,0.22833656810138145,4.3795,3.0,10000,1,0.8983297080000001,0.8983297080000001,,8.983297080000002e-05,100002
3,3,1.5,3.0,0.05,0.05,2.0,2000,8730,0,8730,0.2290950744558992,4.365,3.0,10000,1,1.685910417,1.685910417,,0.0001685910417,100003
3,4,2.0,3.0,0.05,0.05,2.0,2000,8569,0,8569,0.2333994631812347,4.2845,3.0,10000,1,0.9242054579999994,0.9242054579999994,,9.242054579999995e-05,100004
3,5,2.5,3.0,0.05,0.05,2.0,2000,9304,0,9304,0.21496130696474636,4.652,3.0,10000,1,0.7930898750000006,0.7930898750000006,,7.930898750000006e-05,100005
3,6,2.9,3.0,0.05,0.05,2.0,2000,12698,0,12698,0.1575051189163648,6.349,5.0,10000,1,0.9131649580000003,0.9131649580000003,,9.131649580000003e-05,100006
3,7,0.1,3.0,0.525,0.05,2.0,2000,10058,0,10058,0.19884668920262477,5.029,4.0,10000,1,0.6694044999999988,0.6694044999999988,,6.694044999999989e-05,100007
3,8,1.0,3.0,0.525,0.05,2.0,2000,8805,0,8805,0.2271436683702442,4.4025,3.0,10000,1,0.9493251669999996,0.9493251669999996,,9.493251669999996e-05,100008
3,9,1.5,3.0,0.525,0.05,2.0,2000,8957,0,8957,0.22328904767221167,4.4785,3.0,10000,1,1.469651583000001,1.469651583000001,,0.0001469651583000001,100009
3,10,2.0,3.0,0.525,0.05,2.0,2000,10090,0,10090,0.19821605550049554,5.045,4.0,10000,1,0.9016743749999989,0.9016743749999989,,9.01674374999999e-05,100010
3,11,2.5,3.0,0.525,0.05,2.0,2000,9919,0,9919,0.20163322915616494,4.9595,4.0,10000,1,0.8300700419999991,0.8300700419999991,,8.300700419999991e-05,100011
3,12,2.9,3.0,0.525,0.05,2.0,2000,14503,0,14503,0.1379025029304282,7.2515,5.0,10000,1,1.0454781670000006,1.0454781670000006,,0.00010454781670000007,100012
3,13,0.1,3.0,1.0,0.05,2.0,2000,7805,0,7805,0.25624599615631005,3.9025,3.0,10000,1,0.5564318329999995,0.5564318329999995,,5.564318329999996e-05,100013
3,14,1.0,3.0,1.0,0.05,2.0,2000,8839,0,8839,0.2262699400384659,4.4195,3.0,10000,1,0.9529606249999993,0.9529606249999993,,9.529606249999993e-05,100014
3,15,1.5,3.0,1.0,0.05,2.0,2000,8720,0,8720,0.22935779816513763,4.36,3.0,10000,1,1.8990670829999985,1.8990670829999985,,0.00018990670829999984,100015
3,16,2.0,3.0,1.0,0.05,2.0,2000,14328,0,14328,0.13958682300390843,7.164,5.0,10000,1,1.218556833000001,1.218556833000001,,0.0001218556833000001,100016
3,17,2.5,3.0,1.0,0.05,2.0,2000,14416,0,14416,0.13873473917869034,7.208,5.0,10000,1,1.1130661669999995,1.1130661669999995,,0.00011130661669999995,100017
3,18,2.9,3.0,1.0,0.05,2.0,2000,19655,0,19655,0.10175527855507505,9.8275,7.0,10000,1,1.4533204580000003,1.4533204580000003,,0.00014533204580000002,100018
3,19,0.1,3.0,1.4749999999999999,0.05,2.0,2000,9514,0,9514,0.21021652301870927,4.757,3.0,10000,1,0.6791878330000003,0.6791878330000003,,6.791878330000003e-05,100019
3,20,1.0,3.0,1.4749999999999999,0.05,2.0,2000,8697,0,8697,0.22996435552489364,4.3485,3.0,10000,1,0.9545570419999976,0.9545570419999976,,9.545570419999976e-05,100020
3,21,1.5,3.0,1.4749999999999999,0.05,2.0,2000,8878,0,8878,0.22527596305474207,4.439,3.0,10000,1,1.4865672500000002,1.4865672500000002,,0.00014865672500000002,100021
3,22,2.0,3.0,1.4749999999999999,0.05,2.0,2000,28909,0,28909,0.06918260749247639,14.4545,10.0,10000,1,2.321926042000001,2.321926042000001,,0.0002321926042000001,100022
3,23,2.5,3.0,1.4749999999999999,0.05,2.0,2000,28916,0,28916,0.06916585973163647,14.458,10.0,10000,1,2.089065500000004,2.089065500000004,,0.00020890655000000037,100023
3,24,2.9,3.0,1.4749999999999999,0.05,2.0,2000,41369,0,41369,0.04834537939036477,20.6845,15.0,10000,1,2.8941270830000008,2.8941270830000008,,0.0002894127083000001,100024
3,25,0.1,3.0,1.95,0.05,2.0,2000,12394,0,12394,0.16136840406648378,6.197,4.0,10000,1,0.9310412499999998,0.9310412499999998,,9.310412499999998e-05,100025
3,26,1.0,3.0,1.95,0.05,2.0,2000,8577,0,8577,0.23318176518596245,4.2885,3.0,10000,1,0.9352370000000008,0.9352370000000008,,9.352370000000008e-05,100026
3,27,1.5,3.0,1.95,0.05,2.0,2000,8922,0,8922,0.22416498542927596,4.461,3.0,10000,1,1.7240608749999993,1.7240608749999993,,0.00017240608749999992,100027
3,28,2.0,3.0,1.95,0.05,2.0,2000,343973,0,343973,0.005814409851936053,171.9865,119.5,10000,1,28.194582458,28.194582458,,0.0028194582458,100028
3,29,2.5,3.0,1.95,0.05,2.0,2000,342312,0,342312,0.005842623104068803,171.156,112.0,10000,1,24.41167945800001,24.41167945800001,,0.002441167945800001,100029
3,30,2.9,3.0,1.95,0.05,2.0,2000,493173,0,493173,0.004055372049970294,246.5865,168.5,10000,1,36.06580187499999,36.06580187499999,,0.0036065801874999993,100030
3,31,0.1,3.0,0.05,0.525,2.0,2000,14571,0,14571,0.1372589389884016,7.2855,5.0,10000,1,1.0572616249999953,1.0572616249999953,,0.00010572616249999954,100031
3,32,1.0,3.0,0.05,0.525,2.0,2000,10296,0,10296,0.19425019425019424,5.148,4.0,10000,1,0.9033325409999975,0.9033325409999975,,9.033325409999975e-05,100032
