algorithm,t,scenario_count,acceptance_rate_mean,elapsed_median_sec,B_accept,B_time,timing_reps,mode
3,0.1,25,0.11291692721338299,1.0641826670000114,2000,10000,1,full
3,1.0,25,0.13018799967583067,1.2636404579999976,2000,10000,1,full
3,1.5,25,0.1293524894940698,2.483162708000009,2000,10000,1,full
3,2.0,25,0.12966062021339905,1.2563511660000017,2000,10000,1,full
3,2.5,25,0.1284293889033592,1.2007901659999902,2000,10000,1,full
3,2.9,25,0.11163763166186669,1.0635748330000183,2000,10000,1,full
4,0.1,5,0.08916610852321437,1.5961017919998994,2000,10000,1,full
4,1.0,5,0.12985502377155944,1.7630401670000992,2000,10000,1,full
4,1.5,5,0.12796706603233493,1.5912914589998763,2000,10000,1,full
4,2.0,5,0.5028843315980746,0.3755436250000912,2000,10000,1,full
4,2.5,5,0.492479833167737,0.31490916600000673,2000,10000,1,full
4,2.9,5,0.438078945909862,0.34478949999993347,2000,10000,1,full
5,0.1,5,0.43743169135325866,0.35019120900005873,2000,10000,1,full
5,1.0,5,0.5063443186977602,0.3751178750001145,2000,10000,1,full
5,1.5,5,0.12792652115444378,1.5989882909998414,2000,10000,1,full
5,2.0,5,0.1302133749034664,1.6861412910000126,2000,10000,1,full
5,2.5,5,0.12916560619912093,1.265377375000071,2000,10000,1,full
5,2.9,5,0.09021701536745798,1.6390371669999695,2000,10000,1,full
6,0.1,1,0.3631741420010895,0.4885602080000808,2000,10000,1,full
6,1.0,1,0.4932182490752158,0.4852390830001241,2000,10000,1,full
6,1.5,1,0.49468216670789017,0.47663137499989716,2000,10000,1,full
6,2.0,1,0.5120327700972862,0.4864466250000987,2000,10000,1,full
6,2.5,1,0.4878048780487805,0.32228983300001346,2000,10000,1,full
6,2.9,1,0.34334763948497854,0.4913697920001141,2000,10000,1,full
