algorithm,scenario_id,t,x,z,repetition,B_time,timing_seed,elapsed_sec
3,1,0.1,0.05,0.05,1,10000,200101,0.93244625
3,2,1.0,0.05,0.05,1,10000,200201,0.8983297080000001
3,3,1.5,0.05,0.05,1,10000,200301,1.685910417
3,4,2.0,0.05,0.05,1,10000,200401,0.9242054579999994
3,5,2.5,0.05,0.05,1,10000,200501,0.7930898750000006
3,6,2.9,0.05,0.05,1,10000,200601,0.9131649580000003
3,7,0.1,0.525,0.05,1,10000,200701,0.6694044999999988
3,8,1.0,0.525,0.05,1,10000,200801,0.9493251669999996
3,9,1.5,0.525,0.05,1,10000,200901,1.469651583000001
3,10,2.0,0.525,0.05,1,10000,201001,0.9016743749999989
3,11,2.5,0.525,0.05,1,10000,201101,0.8300700419999991
3,12,2.9,0.525,0.05,1,10000,201201,1.0454781670000006
3,13,0.1,1.0,0.05,1,10000,201301,0.5564318329999995
3,14,1.0,1.0,0.05,1,10000,201401,0.9529606249999993
3,15,1.5,1.0,0.05,1,10000,201501,1.8990670829999985
3,16,2.0,1.0,0.05,1,10000,201601,1.218556833000001
3,17,2.5,1.0,0.05,1,10000,201701,1.1130661669999995
3,18,2.9,1.0,0.05,1,10000,201801,1.4533204580000003
3,19,0.1,1.4749999999999999,0.05,1,10000,201901,0.6791878330000003
3,20,1.0,1.4749999999999999,0.05,1,10000,202001,0.9545570419999976
3,21,1.5,1.4749999999999999,0.05,1,10000,202101,1.4865672500000002
3,22,2.0,1.4749999999999999,0.05,1,10000,202201,2.321926042000001
3,23,2.5,1.4749999999999999,0.05,1,10000,202301,2.089065500000004
3,24,2.9,1.4749999999999999,0.05,1,10000,202401,2.8941270830000008
3,25,0.1,1.95,0.05,1,10000,202501,0.9310412499999998
3,26,1.0,1.95,0.05,1,10000,202601,0.9352370000000008
3,27,1.5,1.95,0.05,1,10000,202701,1.7240608749999993
3,28,2.0,1.95,0.05,1,10000,202801,28.194582458
3,29,2.5,1.95,0.05,1,10000,202901,24.41167945800001
3,30,2.9,1.95,0.05,1,10000,203001,36.06580187499999
3,31,0.1,0.05,0.525,1,10000,203101,1.0572616249999953
3,32,1.0,0.05,0.525,1,10000,203201,0.9033325409999975
3,33,1.5,0.05,0.525,1,10000,203301,1.7800336250000157
3,34,2.0,0.05,0.525,1,10000,203401,0.9414606659999833
3,35,2.5,0.05,0.525,1,10000,203501,0.875406125000012
3,36,2.9,0.05,0.525,1,10000,203601,0.6702382080000007
3,37,0.1,0.525,0.525,1,10000,203701,0.7502507089999995
3,38,1.0,0.525,0.525,1,10000,203801,0.9308313339999756
3,39,1.5,0.525,0.525,1,10000,203901,1.5201480419999882
3,40,2.0,0.525,0.525,1,10000,204001,0.9270210420000069
3,41,2.5,0.525,0.525,1,10000,204101,0.9272471249999796
3,42,2.9,0.525,0.525,1,10000,204201,0.7564754580000113
3,43,0.1,1.0,0.525,1,10000,204301,0.6106454999999755
3,44,1.0,1.0,0.525,1,10000,204401,0.9306609580000043
3,45,1.5,1.0,0.525,1,10000,204501,1.9503222920000098
3,46,2.0,1.0,0.525,1,10000,204601,1.265978084000011
3,47,2.5,1.0,0.525,1,10000,204701,1.2732826250000073
3,48,2.9,1.0,0.525,1,10000,204801,1.0596350419999965
3,49,0.1,1.4749999999999999,0.525,1,10000,204901,0.7537157499999978
3,50,1.0,1.4749999999999999,0.525,1,10000,205001,0.9543624169999987
3,51,1.5,1.4749999999999999,0.525,1,10000,205101,1.502604292000001
3,52,2.0,1.4749999999999999,0.525,1,10000,205201,2.381125750000024
3,53,2.5,1.4749999999999999,0.525,1,10000,205301,2.2998204999999814
3,54,2.9,1.4749999999999999,0.525,1,10000,205401,2.0870668749999766
3,55,0.1,1.95,0.525,1,10000,205501,1.0518158749999884
3,56,1.0,1.95,0.525,1,10000,205601,0.9098482079999997
3,57,1.5,1.95,0.525,1,10000,205701,1.7732287919999976
3,58,2.0,1.95,0.525,1,10000,205801,29.384369582999994
3,59,2.5,1.95,0.525,1,10000,205901,27.228095499999995
3,60,2.9,1.95,0.525,1,10000,206001,25.311172208000016
3,61,0.1,0.05,1.0,1,10000,206101,1.4577627909999933
3,62,1.0,0.05,1.0,1,10000,206201,1.222088499999984
3,63,1.5,0.05,1.0,1,10000,206301,2.48519675
3,64,2.0,0.05,1.0,1,10000,206401,0.9409876249999911
3,65,2.5,0.05,1.0,1,10000,206501,0.7980561249999596
3,66,2.9,0.05,1.0,1,10000,206601,0.5437506249999728
3,67,0.1,0.525,1.0,1,10000,206701,1.0476773750000348
